$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
9295.6,10.29,12079
10350,4.14,4860
87500,50.83,59666
4411.93,8.5,9980
33810,9.66,11339
1408.89,3.57,4191
3780.26,8.16,9579
14553,8.82,10353
13387.5,7.65,8980
28350,8.1,9508
3384.74,6.89,8088
10400,10.4,12208
1601.33,3.5,4108
1071,2.45,2876
22050,6.3,7395
34650,9.9,11621
17248,9.86,11569
10518.8,2.81,3298
5418.42,13.48,15817
4544.66,9.54,11198
3011.28,7.8,9156
3019.05,6.13,7196
11900,15.6,18312
9209.51,10.29,12079
4552.3,9.72,11410
3645.63,4.5,5282
3624.03,7.6,8915
17167.5,9.81,11515
8640,2.88,3381
4765.38,4,4695
2432.6,5.39,6327
28570,9.46,11105
28080,7.49,8792
19200,4.8,5634
12250,8.28,9719
20073,9.2,10799
31278.7,7.74,9086
756,0.22,258
22500,6,7043
14784,4.22,4954
5282.43,6.86,8053
3976.27,8.42,9878
3362.78,7.6,8915
27000,6,7043
12327.38,18.3,21481
37500,10,11738
18600,14,16434
20160,3.36,3944
2940.23,6,7043
1970.67,5,5869
24948,7.13,8369
3179.72,7.4,8681
19320,5.52,6480
3922.69,7.7,9033
3294.71,6.3,7395
188000,137.09,160922
4977.42,11,12912
1898.7,3.68,4314
4715.96,9.25,10858
10657.5,6.09,7149
1703.82,3.5,4108
2194.45,5.36,6286
8250,8.25,9684
21262.5,6.08,7137
3429.13,7.28,8546
5261.2,12.38,14526
17500,10.05,11791
14700,4.2,4930
28350,8.1,9508
6481.03,13.25,15553
6035.07,4.9,5752
14000,15.7,18425
2261.8,5.25,6163
4505.15,9.18,10776
9243,2.05,2406
3450.13,6.75,7923
37500,10.26,12044
11200,6.4,7513
3266,5.87,6885
9805.38,8.33,9778
7870.5,4.77,5599
4974.68,11.48,13470
12600,7.2,8452
9458.75,5.41,6345
3744,3.5,4108
23520,6.72,7888
4588.18,9.81,11515
16450,9.4,11034
10480,4.32,5071
3958.54,7.6,8915
12600,7.2,8452
7862.72,11.45,13435
17550,4.68,5494
25144,7.18,8428
17500,10.81,12689
13860,7.92,9297
10500,3,3522
4283.69,9.9,11621
32467.5,7.22,8475
16023,9.16,10748
5844.61,11.77,13818
60480,34.56,40568
2616,2.62,3071
22837.5,6.53,7659
2076.58,4.77,5599
2295.62,4.68,5494
32760,18.72,21974
4548.5,11.48,13470
12337.69,9.16,10748
6522.42,6.13,7190
19320,5.52,6480
3748.15,7.65,8980
16100,9.2,10799
27500,10.12,11879
4025,2.3,2700
2200.48,4.59,5388
31460,7.56,8874
31680,5.28,6198
1757.99,5.61,6585
2119.78,4.85,5687
9660,5.52,6480
3640,3.64,4273
10500,9,10565
49000,9.8,11504
14850,9,10565
1689.32,3.57,4191
3150,0.9,1056
10010,5.72,6714
13734,7.85,9212
5961.81,12.38,14526
735,0.42,493
2258.19,5.15,6039
17500,11.04,12959
31752,9.07,10647
12075,6.9,8099
32287.5,9.23,10835
6318,7.02,8240
14086,11.04,12959
2130,0.57,669
4748.55,10.46,12272
33075,7.35,8628
17500,10.94,12847
16450,4.7,5517
6600,21.68,25443
1114.62,2.04,2395
17500,10.08,11832
18000,4.8,5634
20000,15.2,17842
2717.29,5.75,6750
31255,8.93,10482
1875,0.5,587
4135.41,9.18,10776
16500,6.6,7747
19125,5.1,5987
2369.47,5.5,6456
5639.44,4.41,5177
24500,7,8217
1394.79,3.92,4601
8640,6,7043
5418.13,11.66,13687
4754.78,9.75,11445
17158.75,9.81,11510
23625,6.75,7923
24975,6.66,7818
39936,9.98,11715
2089.55,4,4695
27370,7.82,9179
8761.81,6.25,7337
20120,5.04,5916
13020,7.44,8733
23100,7.56,8874
16758,9.58,11241
60000,10.56,12396
12589.5,7.19,8445
21735,6.21,7290
5836.03,12.75,14966
11772,7.85,9212
3113.9,6.84,8029
19500,7.8,9156
63743.75,36.43,42757
19845,5.67,6656
3628.57,7.42,8710
11154.44,10.08,11832
47424,9.98,11715
30800,8.8,10330
13000,10.46,12283
18562.96,12.08,14174
2405.18,5.36,6286
1513.25,3.32,3891
5585.36,9.6,11269
12250,7.1,8328
6600,19.62,23031
16100,4.6,5400
9686.42,10.26,12044
28800,4.8,5634
8000,8,9391
6617.61,7.84,9203
18900,5.4,6339
2258.38,5.1,5987
2751.13,5,5869
3798.4,6.56,7695
9817.5,5.61,6585
13734,7.85,9212
2512.39,6.63,7783
3312.67,7.19,8445
16800,9.6,11269
10710,6.12,7184
44550,8.91,10459
17500,10.29,12079
10300.5,5.89,6909
