,Project Number,Project Cost
869,2013-529455-Sola,49816
870,2013-535657-Sola,47912
871,2013-631039-Sola,24906
872,2012-454440-SLPR,33480
873,2014-662733-Sola,45517
874,2014-660804-Sola,41501
875,2012-456101-SLPR,108355
876,2012-487478-Sola,50996
877,2013-534548-Sola,39000
878,2013-636686-Sola,38555
879,2014-649546-Sola,29172
880,4116-002,12993.75
881,2011-157019-SLPR,
882,2014-645324-Sola,51537
883,2010-145704-SLPR,47743.44
884,2014-653832-Sola,37606
885,4061-22109,46518.8
886,2014-663240-Sola,53550
887,4061-23079,38395
888,2013-539958-Sola,19600
889,2010-148507-SLPR,29700
890,2012-464496-Sola,18789
891,2014-639939-Sola,64178
892,2014-645651-Sola,42400
893,4006-67870,21840
894,2011-378608-SLPR,11089.3
895,2011-157199-SLPR,82320
896,2013-636607-Sola,94693
897,4018-34775,21275
898,2011-187860-SLPR,45150
899,2014-663688-Sola,27983
900,2013-528269-Sola,67766
901,2013-530944-Sola,52300
902,2011-230103-SLPR,20116
903,2014-638476-Sola,44844
904,4033-51099,27820.8
905,2012-502594-Sola,22560
906,2013-631090-Sola,38092
907,2011-156643-SLPR,
908,4018-011,61724
909,2011-156348-SLPR,43800
910,2014-656054-Sola,15840
911,2011-159784-SLPR,70500
912,2011-184093-SLPR,67312.5
913,4086-039,411264
914,2012-500762-Sola,171931
915,4089-23897,44400
916,2011-156814-SLPR,3500
917,2011-157272-SLPR,70000
918,2011-188613-SLPR,49500
919,2012-518055-Sola,47300
920,2013-537897-Sola,32000
921,2014-646148-Sola,37950
922,2012-457584-Sola,40814
923,2011-160664-SLPR,40950
924,4006-51874,45126
925,2013-537768-Sola,30000
926,2011-160321-SLPR,42725
927,2013-539677-Sola,33539
928,4011-44338,31000
929,4014-003-1,344229
930,2011-157297-SLPR,20400
931,2010-144606-SLPR,31500
