Project Cost,Contractor,Project Status
51851,VIVINT SOLAR,Complete
38823,VIVINT SOLAR,Complete
48496.8,HARVEST POWER,Complete
20660,SUNWIZE TECHNOLOGIES,Complete
45425,SUNPOWER CAPITAL LLC,Complete
36051,,Complete
52650,,Complete
32232,VIVINT SOLAR,Complete
31020,Triangle Electrical Systems,Complete
37000,SUNPOWER REBATE PROGRAM,Complete
20825,"SolarHouse 1, LLC",Complete
90000,,Complete
63504,,Complete
36450,,Complete
43103,,Complete
18967,SUNWIZE TECHNOLOGIES,Complete
43621.8,SUNPOWER REBATE PROGRAM,Complete
25594,SUNRISE ENERGY CONCEPTS INC,Complete
37941,COOPER ELECTRIC,Complete
58984,,Complete
46250,"VISIGOTH SOLAR 1, LLC",Complete
19549,"altPower, Inc.",Complete
43971,,Complete
8880,"Rochester Solar Technologies, LLC",Complete
36400,SOLAR SOLUTIONS OF LONG ISLAND,Complete
48300,,Complete
47190,VIVINT SOLAR,Complete
21728,,Complete
34500,,Complete
36185,"Alteris RPS, LLC",Complete
34004.2,,Complete
,,Complete
44894,Hudson Valley Clean Energy,Complete
75600,Mercury Solar,Complete
35719,ALLIED BUILDING PRODUCT CORP,Complete
17136,SUNPOWER REBATE PROGRAM,Complete
32500,SOLARCITY CORPORATION,Complete
33540,COOPER ELECTRIC,Complete
17660.38,"SUNRUN, INC",Complete
36731,YOU SAVE GREEN INC,Complete
39870,Hudson Valley Clean Energy,Complete
22758,VIVINT SOLAR,Complete
25600,BUILT WELL SOLAR,Complete
33000,EMPOWER CES LLC,Complete
32129,SUNPOWER REBATE PROGRAM,Complete
61600,"solar Intergrated fund II, llc",Complete
43244,SUNPOWER REBATE PROGRAM,Complete
75000,,Complete
56227,VIVINT SOLAR,Complete
35036,SUNATION SOLAR SYSTEMS INC.,Complete
73500,,Complete
95000,SUNWIZE TECHNOLOGIES,Complete
43758,VIVINT SOLAR,Complete
,,Complete
238140,,Complete
37480,JOYCE MILILLO,Complete
29392.7,LONG ISLAND POWER SOLUTIONS,Complete
35280,,Complete
47998,DC POWER SYSTEMS,Complete
22050,SOLARCITY CORPORATION,Complete
39200,"VISIGOTH SOLAR 1, LLC",Complete
31250,"SOLAR INTEGRATED FUND I, LLC",Complete
27918.6,Mercury Solar,Complete
48195,VIVINT SOLAR,Complete
31844,,Complete
15675,,Complete
47164,Hudson Valley Clean Energy,Complete
37095.4,,Complete
22680,,Complete
29172,VIVINT SOLAR,Complete
28662,FJC,Complete
45216,VIVINT SOLAR,Complete
69510,,Complete
39850,SUNPOWER REBATE PROGRAM,Complete
21250,"SOLAR INTEGRATED FUND I, LLC",Complete
45517,VIVINT SOLAR,Complete
39188,ALLIED BUILDING PRODUCT CORP,Complete
162435,QUAD STATE SOLAR,Complete
80678.6,,Complete
25436,VIVINT SOLAR,Complete
23466,"SUNRUN, INC",Complete
20000,SOLAR DAD AND SONS INC,Complete
18750,LEVEL SOLAR,Complete
27500,SOLARCITY CORPORATION,Complete
28750,Mound Solar Owner VIII LLC,Complete
47631,,Complete
43065,SUNPOWER REBATE PROGRAM,Complete
80742,SUNPOWER REBATE PROGRAM,Complete
76351,,Complete
