Project Number,$Incentive
2014-648622-Sola,2555.07
2013-606285-Sola,2666.54
2011-423523-SLPR,29935.12
2011-160254-SLPR,10395
2013-520568-Sola,17500
2011-157484-SLPR,37440
2013-538961-Sola,41584.48
2014-644748-Sola,1824.93
2013-538708-Sola,5895.41
2011-346670-SLPR,11672.5
2011-161139-SLPR,17599.5
2014-660863-Sola,1064.51
2011-159854-SLPR,35000
2010-146966-SLPR,20000
2014-649578-Sola,1952.18
2013-531200-Sola,14595.19
2014-655482-Sola,3562.47
2013-609618-Sola,4839.9
2010-146963-SLPR,19975
2010-144969-SLPR,12075
2011-160648-SLPR,19740
2014-663417-Sola,2990.48
4006-44879,6867
2011-157554-SLPR,23250
2012-455978-SLPR,15312.5
4095-22107,87500
2013-630242-Sola,2395.66
2014-636943-Sola,2505.7
2014-642050-Sola,2541.42
2011-159467-SLPR,35000
2013-528309-Sola,11830
2014-658685-Sola,3949.36
2011-159842-SLPR,32340
2013-539822-Sola,4465.7
2014-640391-Sola,2250.06
2013-534538-Sola,10328.78
2013-520585-Sola,17500
2014-649428-Sola,3803.99
2012-459461-Sola,17500
2013-542619-Sola,2483.05
2014-664526-Sola,4900.03
2011-159369-SLPR,34776
4001-26030,10080
2014-663133-Sola,4658.71
4030-20129,8505
4054-19787,4410
2011-160198-SLPR,19320
4018-64253,4368
2014-655964-Sola,4018.64
4006-22154,12250
2013-538375-Sola,5215.71
2011-161158-SLPR,22639.5
2011-378398-SLPR,5855
2011-156755-SLPR,36000
2013-536053-Sola,17004.25
2013-636594-Sola,6600
4006-20531,36225
2012-464035-Sola,17220
2011-158782-SLPR,21840
2011-158875-SLPR,35000
2013-532400-Sola,8881.72
2014-646254-Sola,2106.49
2013-555393-Sola,1732.96
4030-007,35000
